Reaction ID	Reaction: Links to Reaxys	Data Count	Number of Reaction Details	Reaction Rank	Record Type	Reactant	Product	Bin	Reaction	
28812506	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28812506&database=RX&origin=ReaxysOutput&ln=	(29 of 2869)	1	69	full reaction; has preparation	2-aminopyridine; 3-bromo-2-chloropyridine	2-chloro-N-(pyridin-2-yl)pyridin-3-amine	285428	NC1=NC=CC=C1.ClC1=NC=CC=C1Br>>ClC1=C(NC2=CC=CC=N2)C=CC=N1	
28812507	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28812507&database=RX&origin=ReaxysOutput&ln=	(30 of 2869)	1	69	full reaction; has preparation	3-bromo-2-chloropyridine; 2-amino-3-nitropyridine	N-(2-Chloro-3-pyridyl)-N-(3-nitro-2-pyridiyl)amine	285428	ClC1=NC=CC=C1Br.NC1=NC=CC=C1N(=O)=O>>ClC1=C(NC2=NC=CC=C2N(=O)=O)C=CC=N1	
28947936	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28947936&database=RX&origin=ReaxysOutput&ln=	(31 of 2869)	1	69	full reaction; has preparation	2-chloro-4-(4-methylphenyl)pyridine; 4-methoxy-aniline	(4-methoxy-phenyl)-(4-p-tolyl-pyridin-2-yl)-amine	282390	CC1=CC=C(C=C1)C1=CC=NC(Cl)=C1.COC1=CC=C(N)C=C1>>COC1=CC=C(NC2=CC(=CC=N2)C2=CC=C(C)C=C2)C=C1	
28947940	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28947940&database=RX&origin=ReaxysOutput&ln=	(32 of 2869)	1	69	full reaction; has preparation	2-chloro-4-(3-trifluoromethyl-phenyl)l-pyridine; naphthalen-2-ylamine	naphthalen-2-yl-[4-(3-trifluoromethyl-phenyl)l-pyridin-2-yl]-amine	282391	FC(F)(F)C1=CC(=CC=C1)C1=CC(Cl)=NC=C1.NC1=CC2=CC=CC=C2C=C1>>FC(F)(F)C1=CC=CC(=C1)C1=CC=NC(NC2=CC3=CC=CC=C3C=C2)=C1	
28947942	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28947942&database=RX&origin=ReaxysOutput&ln=	(33 of 2869)	1	69	full reaction; has preparation	4-chloro-3-(4-methoxyphenyl)quinoline; 4-methoxy-aniline	N,3-bis(4-methoxyphenyl)quinolin-4-amine	285409	COC1=CC=C(C=C1)C1=CN=C2C=CC=CC2=C1Cl.COC1=CC=C(N)C=C1>>COC1=CC=C(NC2=C3C=CC=CC3=NC=C2C2=CC=C(OC)C=C2)C=C1	
28947944	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28947944&database=RX&origin=ReaxysOutput&ln=	(34 of 2869)	1	69	full reaction; has preparation	4-chloro-3-phenylquinoline; 4-methoxy-aniline	N-(4-methoxyphenyl)-3-phenylquinolin-4-amine	285409	ClC1=C(C=NC2=CC=CC=C12)C1=CC=CC=C1.COC1=CC=C(N)C=C1>>COC1=CC=C(NC2=C3C=CC=CC3=NC=C2C2=CC=CC=C2)C=C1	
28947946	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28947946&database=RX&origin=ReaxysOutput&ln=	(35 of 2869)	1	69	full reaction; has preparation	2-chloro-3-phenyl-quinoline; 4-aminoethylbenzene	N-(4-ethylphenyl)-3-phenylquinolin-2-amine	282425	ClC1=NC2=CC=CC=C2C=C1C1=CC=CC=C1.CCC1=CC=C(N)C=C1>>CCC1=CC=C(NC2=C(C=C3C=CC=CC3=N2)C2=CC=CC=C2)C=C1	
28947950	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28947950&database=RX&origin=ReaxysOutput&ln=	(36 of 2869)	1	69	full reaction; has preparation	4-methoxy-aniline; 2-chloro-3-(4-methylphenyl)quinoline	N-(4-methoxyphenyl)-3-p-tolylquinolin-2-amine	282425	COC1=CC=C(N)C=C1.CC1=CC=C(C=C1)C1=CC2=C(C=CC=C2)N=C1Cl>>COC1=CC=C(NC2=C(C=C3C=CC=CC3=N2)C2=CC=C(C)C=C2)C=C1	
29113698	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113698&database=RX&origin=ReaxysOutput&ln=	(37 of 2869)	1	69	full reaction; has preparation	2-Aminobenzyl alcohol; 2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine	(2-{[5-(4-amino-8,9-dimethoxybenzo[c][2,7]naphthyridin-2-yl)pyridin-3-yl]amino}phenyl)methanol	285423	NC1=CC=CC=C1CO.COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1>>COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CN=CC(NC2=CC=CC=C2CO)=C1	
29113705	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113705&database=RX&origin=ReaxysOutput&ln=	(38 of 2869)	1	69	full reaction; has preparation	o-(benzyloxy)aniline; 2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine	2-(5-{[2-(benzyloxy)phenyl]amino}pyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine	285423	NC1=C(OCC2=CC=CC=C2)C=CC=C1.COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1>>COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CN=CC(NC2=CC=CC=C2OCC2=CC=CC=C2)=C1	
29113706	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113706&database=RX&origin=ReaxysOutput&ln=	(39 of 2869)	1	69	full reaction; has preparation	2-Fluoroaniline; 2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine	2-{5-[(2-fluorophenyl)amino]pyridin-3-yl}-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine	285423	NC1=C(F)C=CC=C1.COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1>>COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CN=CC(NC2=CC=CC=C2F)=C1	
29113707	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113707&database=RX&origin=ReaxysOutput&ln=	(40 of 2869)	1	69	full reaction; has preparation	2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine; 4-aminobenzenemethanol	(4-{[5-(4-amino-8,9-dimethoxybenzo[c][2,7]naphthyridin-2-yl)pyridin-3-yl]amino}phenyl)methanol	285423	COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1.NC1=CC=C(CO)C=C1>>COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CN=CC(NC2=CC=C(CO)C=C2)=C1	
29113708	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113708&database=RX&origin=ReaxysOutput&ln=	(41 of 2869)	1	69	full reaction; has preparation	2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine; 3-aminobenzenemethanol	(3-{[5-(4-amino-8,9-dimethoxybenzo[c][2,7]naphthyridin-2-yl)pyridin-3-yl]amino}phenyl)methanol	285423	COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1.NC1=CC=CC(CO)=C1>>COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CN=CC(NC2=CC=CC(CO)=C2)=C1	
29113709	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113709&database=RX&origin=ReaxysOutput&ln=	(42 of 2869)	1	69	full reaction; has preparation	2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine; 2-aminophenethyl alcohol	2-(2-{[5-(4-amino-8,9-dimethoxybenzo[c][2,7]naphthyridin-2-yl)pyridin-3-yl]amino}phenyl)ethanol	285423	COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1.NC1=C(CCO)C=CC=C1>>COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CN=CC(NC2=CC=CC=C2CCO)=C1	
29113710	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113710&database=RX&origin=ReaxysOutput&ln=	(43 of 2869)	1	69	full reaction; has preparation	2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine; m-Anisidine	8,9-dimethoxy-2-{5-[(3-methoxyphenyl)amino]pyridin-3-yl}benzo[c][2,7]naphthyridin-4-amine	285423	COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1.COC1=CC(N)=CC=C1>>COC1=CC=CC(NC2=CC(=CN=C2)C2=CC3=C4C=C(OC)C(OC)=CC4=NC=C3C(N)=N2)=C1	
29113711	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113711&database=RX&origin=ReaxysOutput&ln=	(44 of 2869)	1	69	full reaction; has preparation	2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine; 2-methoxy-phenylamine	8,9-dimethoxy-2-{5-[(2-methoxyphenyl)amino]pyridin-3-yl}benzo[c][2,7]naphthyridin-4-amine	285423	COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1.COC1=CC=CC=C1N>>COC1=CC=CC=C1NC1=CC(=CN=C1)C1=CC2=C3C=C(OC)C(OC)=CC3=NC=C2C(N)=N1	
29113712	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113712&database=RX&origin=ReaxysOutput&ln=	(45 of 2869)	1	69	full reaction; has preparation	2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine; 4-methoxy-aniline	8,9-dimethoxy-2-{5-[(4-methoxyphenyl)amino]pyridin-3-yl}benzo[c][2,7]naphthyridin-4-amine	285423	COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1.COC1=CC=C(N)C=C1>>COC1=CC=C(NC2=CC(=CN=C2)C2=CC3=C4C=C(OC)C(OC)=CC4=NC=C3C(N)=N2)C=C1	
29113713	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113713&database=RX&origin=ReaxysOutput&ln=	(46 of 2869)	1	69	full reaction; has preparation	2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine; aniline	2-(5-anilinopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine	285423	COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1.NC1=CC=CC=C1>>COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CN=CC(NC2=CC=CC=C2)=C1	
29113714	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D29113714&database=RX&origin=ReaxysOutput&ln=	(47 of 2869)	1	69	full reaction; has preparation	2-(5-bromopyridin-3-yl)-8,9-dimethoxybenzo[c][2,7]naphthyridin-4-amine; 1,2-diamino-benzene	N-[5-(4-amino-8,9-dimethoxybenzo[c][2,7]naphthyridin-2-yl)pyridin-3-yl]benzene-1,2-diamine	285423	COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CC(Br)=CN=C1.NC1=C(N)C=CC=C1>>COC1=CC2=NC=C3C(N)=NC(=CC3=C2C=C1OC)C1=CN=CC(NC2=CC=CC=C2N)=C1	
